spid,rid,iconType,squarePhoto,rectanglePhoto,flowerBloom1,flowerBloom2,flowerBloom3,flowerBloom4,flowerBloom5,flowerBloom6,flowerBloom7,flowerBloom8,flowerBloom9,flowerBloom10,flowerBloom11,flowerBloom12,recordPlant
Mill3,327,1,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20150730_20110010_0.jpg,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20150730_20110010_1.JPG,1,1,1,1,1,1,1,3,4,1,1,1,https://tpbg.tfri.gov.tw/plantContentBig.php?rid=327&SPID=Mill3
Misc5,808,7,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20141229_00_0.jpg,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20141215_20062783_0.jpg,1,1,1,1,1,1,1,1,1,2,4,4,https://tpbg.tfri.gov.tw/plantContentBig.php?rid=808&SPID=Misc5
Muss1,352,1,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20150519_20130304_0.jpg,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20150602_20110151_0.jpg,1,1,1,1,3,4,1,1,1,1,1,1,https://tpbg.tfri.gov.tw/plantContentBig.php?rid=352&SPID=Muss1
Nelu1,77,4,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20140702_00_0.jpg,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20140616_0_0.jpg,1,1,1,1,3,4,4,4,4,3,1,1,https://tpbg.tfri.gov.tw/plantContentBig.php?rid=77&SPID=Nelu1
Nico5,671,3,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20150604_0_1.jpg,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20150604_0_0.jpg,1,1,1,2,3,4,1,1,1,1,1,1,
Plum4,877,5,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20150707_20062655_0.jpg,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20150803_20062655_0.jpg,1,1,1,1,1,1,2,4,1,1,1,1,https://tpbg.tfri.gov.tw/plantContentBig.php?rid=877&SPID=Plum4
Plum5,1460,5,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20140811_20062657_0.jpg,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20140715_20062657_0.jpg,1,1,1,1,2,3,4,4,4,4,1,1,https://tpbg.tfri.gov.tw/plantContentBig.php?rid=1460&SPID=Plum5
Pong1,526,1,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20150922_0_0.jpg,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20150922_0_1.jpg,1,1,1,1,1,1,1,2,3,4,1,1,https://tpbg.tfri.gov.tw/plantContentBig.php?rid=526&SPID=Pong1
Pter194,764,5,http://bgip.tfri.gov.tw/tpbg2012/upload/file/DSC_2792a.jpg,http://bgip.tfri.gov.tw/tpbg2012/upload/file/菲律賓紫檀.jpg,1,1,1,2,4,1,1,1,1,1,1,1,https://tpbg.tfri.gov.tw/plantContentBig.php?rid=764&SPID=Pter194
Pyro1,611,8,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20150225_20060440_0.jpg,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20150216_20060440_0.jpg,2,3,4,1,1,1,1,1,1,1,1,1,https://tpbg.tfri.gov.tw/plantContentBig.php?rid=611&SPID=Pyro1
Pyru1,1063,6,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20150216_20064088_0.jpg,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20150225_20064088_1.jpg,1,2,4,1,1,1,1,1,1,1,1,1,https://tpbg.tfri.gov.tw/plantContentBig.php?rid=1063&SPID=Pyru1
Quis1,126,1,http://bgip.tfri.gov.tw/tpbg2012/upload/file/320.20160130141254.jpg,http://bgip.tfri.gov.tw/tpbg2012/upload/file/950.20160130141304.jpg,1,1,1,1,2,3,4,1,1,1,1,1,https://tpbg.tfri.gov.tw/plantContentBig.php?rid=126&SPID=Quis1
Rhap4,303,6,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20150305_20061830_0.jpg,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20150313_20061830_0.jpg,1,2,3,4,1,1,1,1,1,1,1,1,https://tpbg.tfri.gov.tw/plantContentBig.php?rid=303&SPID=Rhap4
Rhod15,1518,1,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20150330_20130199_0.jpg,http://bgip.tfri.gov.tw/tpbg2012/upload/file/_TBG6296.jpg,1,2,3,4,1,1,1,1,1,1,1,1,https://tpbg.tfri.gov.tw/plantContentBig.php?rid=1518&SPID=Rhod15
Rhod50,308,1,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20150407_20065088_2.jpg,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20150413_20065088_0.jpg,1,3,4,1,1,1,1,1,1,1,1,1,https://tpbg.tfri.gov.tw/plantContentBig.php?rid=308&SPID=Rhod50
Rosa30,,8,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20150407_20065036_0.jpg,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20150407_20065036_1.jpg,1,1,2,4,1,1,1,1,1,1,1,1,http://tpbg.tfri.gov.tw/plantContentBig.php?rid=&SPID=Rosa30
Rosa30,515,8,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20150407_20065036_0.jpg,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20150407_20065036_1.jpg,1,1,2,4,1,1,1,1,1,1,1,1,http://tpbg.tfri.gov.tw/plantContentBig.php?rid=515&SPID=Rosa30
Rosa57,515,8,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20150407_20065036_0.jpg,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20150407_20065036_1.jpg,1,1,2,4,1,1,1,1,1,1,1,1,https://tpbg.tfri.gov.tw/plantContentBig.php?rid=515&SPID=Rosa57
Salv8,468,6,http://bgip.tfri.gov.tw/tpbg2012/upload/file/TBG_3503.jpg,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20141028_20070034_0.jpg,1,1,1,1,1,1,1,1,1,3,4,4,https://tpbg.tfri.gov.tw/plantContentBig.php?rid=468&SPID=Salv8
Spat1,936,1,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20150330_20063730_0.jpg,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20150316_20063503_0.jpg,1,1,4,4,4,1,1,1,1,1,1,1,https://tpbg.tfri.gov.tw/plantContentBig.php?rid=936&SPID=Spat1
Spir5,923,6,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20150420_20110100_0.jpg,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20150420_20110100_1.jpg,1,1,2,4,1,1,1,1,1,1,1,1,https://tpbg.tfri.gov.tw/plantContentBig.php?rid=923&SPID=Spir5
Tabe4,318,1,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20150313_20067082_0.jpg,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20150305_20067082_1.jpg,1,3,4,4,1,1,1,1,1,1,1,1,https://tpbg.tfri.gov.tw/plantContentBig.php?rid=318&SPID=Tabe4
Tabe5,1641,1,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20150316_20062482_0.jpg,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20150316_20062482_1.jpg,1,2,3,4,1,1,1,1,1,1,1,1,https://tpbg.tfri.gov.tw/plantContentBig.php?rid=1641&SPID=Tabe5
Thev3,480,6,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20150603_20062564_0.jpg,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20140901_20062564_0.jpg,1,1,1,1,1,1,2,3,3,4,1,1,https://tpbg.tfri.gov.tw/plantContentBig.php?rid=480&SPID=Thev3
Thun4,904,8,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20141013_20064082_0.jpg,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20141013_20064875_0.jpg,1,1,1,1,1,1,1,2,4,4,3,1,https://tpbg.tfri.gov.tw/plantContentBig.php?rid=904&SPID=Thun4
Vite1,685,6,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20140924_20062791_1.jpg,http://bgip.tfri.gov.tw/tpbg2012/upload/file/GR2Q8864.JPG,1,1,1,1,1,2,3,4,4,3,1,1,https://tpbg.tfri.gov.tw/plantContentBig.php?rid=685&SPID=Vite1
Wist2,321,8,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20150330_20060876_0.jpg,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20140408_20060876_0.jpg,1,2,4,1,1,1,1,1,1,1,1,1,https://tpbg.tfri.gov.tw/plantContentBig.php?rid=321&SPID=Wist2

